Date,STT,0939.HK,BK,C,JPM,INGA.AS,GS,MS,3988.HK,BAC,1398.HK,BNP.PA,RBS.L,GLE.PA,CSGN.VX,1288.HK,STAN.L,DBK.DE,BARC.L,ACA.PA,8306.T,RY.TO,WFC,8316.T,UBSG.VX,8411.T,HSBA.L,SAN.MC,NDA-SEK.ST,UCG.MI,^GSPC,^HSI,^GSPTSE,^N225,^SSMI,^STOXX50E,^FTSE
2010-07-16,32.07869,4.135345,22.070353,37.26955,31.738160999999998,5.288138,131.439575,21.919619,2.527257,12.999303999999999,3.721019,34.219315,437.100006,27.783974,30.45685,2.147197,1249.572876,31.627085,215.758896,6.623226,323.670959,38.881649,21.257824,1887.439087,12.482839,101.407784,410.691559,4.902166,67.725029,63.547413,1064.880005,20250.160156,11569.700195,9408.360352,6184.370117,2645.610107,5158.899902
2010-07-21,32.921721999999995,4.233492,21.598577,37.651817,31.266154999999998,5.397955,132.176971,23.744774,2.521108,12.422797000000001,3.786415,34.601067,451.799988,27.657682,31.320362,2.107799,1295.718384,31.666893,220.003632,6.644729,318.104156,37.379295,21.112005,1858.909912,12.648833,97.733574,421.527039,4.902674,66.048676,63.229359,1069.589966,20487.230469,11513.299805,9278.830078,6132.660156,2639.52002,5214.600098
2010-07-22,33.947272999999996,4.253127,22.044613000000002,39.085255,32.022991,5.62647,131.781265,23.735922,2.533407,12.701754,3.806031,36.248039,447.0,29.062191,31.001833,2.140631,1349.188843,32.970711,230.160355,7.013178,318.104156,37.742195,22.189474,1862.663696,12.872927,98.46843,432.758972,5.060348,67.677132,65.201332,1093.670044,20589.699219,11667.799805,9220.879883,6194.180176,2714.209961,5313.799805
2010-07-23,34.581718,4.305469,22.147548999999998,38.416313,32.413628,5.584482,132.527649,23.824522,2.551856,12.77614,3.845271,36.226231,453.299988,29.085157,31.377033,2.245692,1336.008789,33.010513,228.909836,6.935338,323.670959,37.756721,22.213783,1891.193237,12.848028,99.938095,426.944885,5.128286,67.341858,64.883263,1102.660034,20815.330078,11714.200195,9430.959961,6201.25,2719.129883,5312.600098
2010-07-26,34.503494,4.298926,22.567854,39.65863,32.820526,5.796847,133.26501499999998,23.921982,2.539557,13.157378,3.858349,37.084255,466.700012,30.608297,31.808743,2.291657,1355.051636,33.428581,239.256165,7.151807,324.466217,38.068821,22.610735000000002,1889.691528,13.030623,99.938095,428.99295,5.181521,68.012413,65.121811,1115.01001,20839.910156,11746.099609,9503.660156,6199.459961,2743.120117,5351.100098
2010-07-27,33.895126,4.312011,22.430614000000002,39.754196,33.113487,6.118221,132.392792,23.921982,2.551856,13.194573000000002,3.832194,39.120251,503.5,33.849758,33.684441,2.298223,1390.94104,34.928104,257.372314,7.876866,332.418854,38.758339,22.999607,1942.24585,14.449882,102.142639,440.224884,5.282936,69.688759,68.779404,1113.839966,20973.390625,11716.700195,9496.849609,6275.189941,2769.310059,5365.700195
2010-07-28,33.782139,4.331646,21.767853,39.085255,32.812378,6.095612,132.36578400000002,23.975237,2.545707,13.008605000000001,3.85181,39.963741,497.299988,34.465904,34.052521,2.337621,1368.966553,35.332836,257.030914,7.973252,344.347748,39.121243,22.740374,2011.316895,14.507978,105.08197,438.242737,5.288013,69.545074,68.540848,1106.130005,21091.179688,11696.599609,9753.269531,6277.490234,2766.110107,5319.700195
2010-07-29,33.91251,4.318562,21.742029000000002,39.371952,32.722874,6.175551,137.203613,23.957481,2.533407,13.045795,3.871433,38.829403,499.600006,34.220974,33.790592,2.337621,1363.103394,35.399212,253.240799,7.836063,344.347748,39.215595,22.432517999999998,2011.316895,14.541181,105.08197,433.61792,5.201805,69.976143,68.540848,1101.530029,21093.820313,11728.599609,9696.019531,6220.649902,2752.929932,5314.0
2010-07-30,33.825592,4.312011,21.578492999999998,39.180824,32.779839,5.959148,135.620987,23.957481,2.521108,13.055093,3.884511,38.327667,499.600006,33.85741,33.578289,2.30479,1349.188843,35.565102,252.255356,7.791564,341.166687,38.990589,22.46493,2009.064331,14.790173,103.612297,426.812714,5.054266,69.161911,68.381821,1101.599976,21029.810547,11713.400391,9537.299805,6200.779785,2742.139893,5258.0
2010-08-03,34.642555,4.423251,22.129353,39.467506,33.430882000000004,6.258721,137.75208999999998,24.401305999999998,2.576455,13.334048999999998,3.917205,40.567268,520.5,34.745277,35.029297,2.30479,1393.505127,37.124428,259.797852,8.013979,339.576202,39.070435,22.78087,2016.571777,14.956168,104.347153,443.594513,5.337377,72.802002,69.336006,1120.459961,21457.660156,11782.599609,9694.009766,6337.720215,2818.969971,5396.5
